set;clf_name;selector_name;n_features;accuracy
sets;gradientboost;rfe;125;0.8780487804878049
sets;gradientboost;rfe;124;0.8780487804878049
sets;gradientboost;rfe;123;0.9024390243902439
sets;gradientboost;rfe;122;0.8780487804878049
sets;gradientboost;rfe;121;0.8780487804878049
sets;gradientboost;rfe;120;0.9024390243902439
sets;gradientboost;rfe;119;0.8780487804878049
sets;gradientboost;rfe;118;0.8780487804878049
sets;gradientboost;rfe;117;0.9024390243902439
sets;gradientboost;rfe;116;0.9024390243902439
sets;gradientboost;rfe;115;0.9024390243902439
sets;gradientboost;rfe;114;0.9024390243902439
sets;gradientboost;rfe;113;0.8780487804878049
sets;gradientboost;rfe;112;0.9024390243902439
sets;gradientboost;rfe;111;0.8780487804878049
sets;gradientboost;rfe;110;0.8780487804878049
sets;gradientboost;rfe;109;0.8780487804878049
sets;gradientboost;rfe;108;0.8780487804878049
sets;gradientboost;rfe;107;0.9024390243902439
sets;gradientboost;rfe;106;0.9024390243902439
sets;gradientboost;rfe;105;0.9024390243902439
sets;gradientboost;rfe;104;0.8780487804878049
sets;gradientboost;rfe;103;0.8780487804878049
sets;gradientboost;rfe;102;0.8780487804878049
sets;gradientboost;rfe;101;0.9024390243902439
sets;gradientboost;rfe;100;0.926829268292683
sets;gradientboost;rfe;99;0.926829268292683
sets;gradientboost;rfe;98;0.9024390243902439
sets;gradientboost;rfe;97;0.8536585365853658
sets;gradientboost;rfe;96;0.926829268292683
sets;gradientboost;rfe;95;0.926829268292683
sets;gradientboost;rfe;94;0.926829268292683
sets;gradientboost;rfe;93;0.926829268292683
sets;gradientboost;rfe;92;0.926829268292683
sets;gradientboost;rfe;91;0.926829268292683
sets;gradientboost;rfe;90;0.8780487804878049
sets;gradientboost;rfe;89;0.8780487804878049
sets;gradientboost;rfe;88;0.8780487804878049
sets;gradientboost;rfe;87;0.926829268292683
sets;gradientboost;rfe;86;0.926829268292683
sets;gradientboost;rfe;85;0.926829268292683
sets;gradientboost;rfe;84;0.926829268292683
sets;gradientboost;rfe;83;0.926829268292683
sets;gradientboost;rfe;82;0.926829268292683
sets;gradientboost;rfe;81;0.926829268292683
sets;gradientboost;rfe;80;0.8536585365853658
sets;rndforest;rfe;132;0.8536585365853658
sets;rndforest;rfe;131;0.9024390243902439
sets;rndforest;rfe;130;0.9024390243902439
sets;rndforest;rfe;129;0.8780487804878049
sets;rndforest;rfe;128;0.8292682926829268
sets;rndforest;rfe;127;0.926829268292683
sets;rndforest;rfe;126;0.926829268292683
sets;rndforest;rfe;125;0.9024390243902439
sets;rndforest;rfe;124;0.8780487804878049
sets;rndforest;rfe;123;0.8536585365853658
sets;rndforest;rfe;122;0.8536585365853658
sets;rndforest;rfe;121;0.926829268292683
sets;rndforest;rfe;120;0.9024390243902439
sets;rndforest;rfe;119;0.9024390243902439
sets;rndforest;rfe;118;0.9024390243902439
sets;rndforest;rfe;117;0.8536585365853658
sets;rndforest;rfe;116;0.8780487804878049
sets;rndforest;rfe;115;0.8780487804878049
sets;rndforest;rfe;114;0.9024390243902439
sets;rndforest;rfe;113;0.8780487804878049
sets;rndforest;rfe;112;0.8536585365853658
sets;rndforest;rfe;111;0.926829268292683
sets;rndforest;rfe;110;0.9024390243902439
sets;rndforest;rfe;109;0.8536585365853658
sets;rndforest;rfe;108;0.9024390243902439
sets;rndforest;rfe;107;0.8780487804878049
sets;rndforest;rfe;106;0.926829268292683
sets;rndforest;rfe;105;0.926829268292683
sets;rndforest;rfe;104;0.8536585365853658
sets;rndforest;rfe;103;0.8780487804878049
sets;rndforest;rfe;102;0.9024390243902439
sets;rndforest;rfe;101;0.9024390243902439
sets;rndforest;rfe;100;0.8780487804878049
sets;rndforest;rfe;99;0.8780487804878049
sets;rndforest;rfe;98;0.8292682926829268
sets;rndforest;rfe;97;0.8048780487804879
sets;rndforest;rfe;96;0.8780487804878049
sets;rndforest;rfe;95;0.8780487804878049
sets;rndforest;rfe;94;0.926829268292683
sets;rndforest;rfe;93;0.926829268292683
sets;rndforest;rfe;92;0.9024390243902439
sets;rndforest;rfe;91;0.8780487804878049
